Parameter,Perturbation_%,Sensitivity_Index,Status
par_1,1.0,0.31873651076668946,Active
par_2,1.0,7.662473747083129,Active
par_3,1.0,7.485346568401366,Active
par_4,1.0,0.20766202875059112,Active
par_5,1.0,6.45093124218478,Active
par_6,1.0,1.422408879740253,Active
par_7,1.0,0.3066495969123917,Active
par_8,1.0,6.637509113114424,Active
par_1,5.0,0.3187365107666912,Active
par_2,5.0,7.662473747083128,Active
par_3,5.0,7.492437722210618,Active
par_4,5.0,0.20804545689728554,Active
par_5,5.0,6.45093124218478,Active
par_6,5.0,1.4224088797402525,Active
par_7,5.0,0.3066437102666551,Active
par_8,5.0,6.643525200235909,Active
par_1,10.0,0.3187365107666904,Active
par_2,10.0,7.66247374708313,Active
par_3,10.0,7.5147046477739305,Active
par_4,10.0,0.20936881532223175,Active
par_5,10.0,6.450931242184781,Active
par_6,10.0,1.422408879740252,Active
par_7,10.0,0.3066253149357334,Active
par_8,10.0,6.662450929163471,Active
